categoryid,parentid,root_category,depth_level,path,is_root,is_leaf,total_views,total_carts,total_purchases,unique_visitors,unique_items,view_to_cart_rate,cart_to_purchase_rate,category_cvr,cart_abandonment_rate,outofstock_items,outofstock_views,traffic_rank,cvr_rank
1051,955,140,3,140 > 384 > 955 > 1051,0,1,73014,1709,485,36191,2557,2.3406,28.3792,0.6643,71.6208,2266,38912,1,431
1483,561,395,2,395 > 561 > 1483,0,1,62785,1520,469,40778,2945,2.4210,30.8553,0.7470,69.1447,2795,49730,2,394
491,679,679,1,679 > 491,0,1,59298,1548,263,38029,2417,2.6105,16.9897,0.4435,83.0103,2298,44744,3,535
959,1095,140,3,140 > 409 > 1095 > 959,0,0,50112,1633,532,27166,1890,3.2587,32.5781,1.0616,67.4219,1717,33769,4,273
342,500,1532,2,1532 > 500 > 342,0,1,45288,1278,281,26264,4697,2.8219,21.9875,0.6205,78.0125,4351,33683,5,449
683,1606,1600,3,1600 > 1684 > 1606 > 683,0,1,37765,907,211,15962,939,2.4017,23.2635,0.5587,76.7365,769,20725,6,484
1279,1606,1600,3,1600 > 1684 > 1606 > 1279,0,1,33531,720,123,15219,1023,2.1473,17.0833,0.3668,82.9167,791,17768,7,563
5,1637,140,3,140 > 384 > 1637 > 5,0,1,28952,576,186,15103,288,1.9895,32.2917,0.6424,67.7083,253,20059,8,441
646,1606,1600,3,1600 > 1684 > 1606 > 646,0,1,27669,484,87,13537,1381,1.7493,17.9752,0.3144,82.0248,1316,21889,9,587
48,500,1532,2,1532 > 500 > 48,0,0,26701,600,146,17124,1039,2.2471,24.3333,0.5468,75.6667,946,17992,10,489
196,1667,140,3,140 > 409 > 1667 > 196,0,1,26645,740,298,16598,1659,2.7773,40.2703,1.1184,59.7297,1494,17594,11,254
1173,805,140,3,140 > 384 > 805 > 1173,0,1,23932,478,157,11459,796,1.9973,32.8452,0.6560,67.1548,548,9681,12,435
1135,1329,140,3,140 > 1519 > 1329 > 1135,0,1,22920,746,208,10917,1377,3.2548,27.8820,0.9075,72.1180,921,11220,13,331
333,1497,1490,2,1490 > 1497 > 333,0,1,22381,416,84,12864,1057,1.8587,20.1923,0.3753,79.8077,863,9850,14,560
1578,1249,1482,2,1482 > 1249 > 1578,0,1,21493,577,105,13686,1065,2.6846,18.1976,0.4885,81.8024,719,12039,15,522
84,1308,140,3,140 > 1519 > 1308 > 84,0,1,20936,761,222,9374,1155,3.6349,29.1721,1.0604,70.8279,722,9289,16,274
589,1308,140,3,140 > 1519 > 1308 > 589,0,1,20472,667,209,9920,962,3.2581,31.3343,1.0209,68.6657,668,8735,17,284
1221,1426,1482,2,1482 > 1426 > 1221,0,1,18247,419,110,11472,1591,2.2963,26.2530,0.6028,73.7470,1290,11186,18,461
1650,1426,1482,2,1482 > 1426 > 1650,0,1,17739,525,110,7817,296,2.9596,20.9524,0.6201,79.0476,263,12420,19,450
1375,805,140,3,140 > 384 > 805 > 1375,0,1,17444,376,135,9211,688,2.1555,35.9043,0.7739,64.0957,535,9826,20,381
242,1531,1482,2,1482 > 1531 > 242,0,1,16675,484,90,11123,2121,2.9025,18.5950,0.5397,81.4050,1664,11291,21,493
1248,1368,140,3,140 > 540 > 1368 > 1248,0,1,16373,449,154,9397,1197,2.7423,34.2984,0.9406,65.7016,987,10282,22,319
1625,1141,1600,3,1600 > 55 > 1141 > 1625,0,1,16048,395,118,8196,425,2.4614,29.8734,0.7353,70.1266,331,8162,23,402
1393,1383,140,3,140 > 409 > 1383 > 1393,0,1,14574,406,166,9676,742,2.7858,40.8867,1.1390,59.1133,574,9768,24,249
618,105,1224,2,1224 > 105 > 618,0,1,14535,709,285,4812,1460,4.8779,40.1975,1.9608,59.8025,428,6446,25,89
707,561,395,2,395 > 561 > 707,0,1,14505,464,87,9805,432,3.1989,18.7500,0.5998,81.2500,412,10605,26,463
858,1426,1482,2,1482 > 1426 > 858,0,1,13919,737,174,3840,408,5.2949,23.6092,1.2501,76.3908,344,4023,27,214
209,293,1532,2,1532 > 293 > 209,0,0,13781,267,119,9776,1663,1.9375,44.5693,0.8635,55.4307,1441,10476,28,341
65,293,1532,2,1532 > 293 > 65,0,1,13553,199,72,8703,1012,1.4683,36.1809,0.5312,63.8191,911,9588,29,499
499,986,1532,2,1532 > 986 > 499,0,1,13440,266,16,9928,569,1.9792,6.0150,0.1190,93.9850,498,10716,30,641
1477,206,1532,3,1532 > 986 > 206 > 1477,0,1,13370,187,14,8305,929,1.3987,7.4866,0.1047,92.5134,890,10797,31,647
1233,1257,395,2,395 > 1257 > 1233,0,1,13345,156,60,7839,608,1.1690,38.4615,0.4496,61.5385,550,10235,32,532
730,1482,1482,1,1482 > 730,0,1,13062,355,100,8717,1612,2.7178,28.1690,0.7656,71.8310,1313,8450,33,388
429,113,1532,2,1532 > 113 > 429,0,1,12917,105,30,9652,950,0.8129,28.5714,0.2323,71.4286,818,10431,34,614
1542,745,140,3,140 > 540 > 745 > 1542,0,1,12853,662,294,6783,1006,5.1505,44.4109,2.2874,55.5891,672,5028,35,66
769,587,791,2,791 > 587 > 769,0,1,12654,398,72,6012,3977,3.1453,18.0905,0.5690,81.9095,2031,5449,36,478
926,852,1600,4,1600 > 1684 > 1606 > 852 > 926,0,1,12423,204,55,5835,631,1.6421,26.9608,0.4427,73.0392,595,7426,37,536
1404,593,1482,2,1482 > 593 > 1404,0,1,12323,273,73,8814,1653,2.2154,26.7399,0.5924,73.2601,1289,8211,38,465
1192,955,140,3,140 > 384 > 955 > 1192,0,1,12097,383,149,6854,292,3.1661,38.9034,1.2317,61.0966,216,4182,39,219
1205,580,1600,3,1600 > 1684 > 580 > 1205,0,1,11355,357,145,5393,446,3.1440,40.6162,1.2770,59.3838,334,6237,40,207
256,1257,395,2,395 > 1257 > 256,0,1,11183,183,65,6600,786,1.6364,35.5191,0.5812,64.4809,626,7253,41,471
984,827,140,3,140 > 920 > 827 > 984,0,1,11107,178,59,7642,814,1.6026,33.1461,0.5312,66.8539,790,9152,42,499
421,1424,679,2,679 > 1424 > 421,0,1,11086,398,140,6750,1489,3.5901,35.1759,1.2629,64.8241,1189,6359,43,211
928,20,1532,3,1532 > 1299 > 20 > 928,0,1,11036,300,146,6782,450,2.7184,48.6667,1.3229,51.3333,359,5930,44,199
828,293,1532,2,1532 > 293 > 828,0,1,11008,216,88,6531,1087,1.9622,40.7407,0.7994,59.2593,957,8247,45,370
56,1497,1490,2,1490 > 1497 > 56,0,1,10925,183,38,6766,537,1.6751,20.7650,0.3478,79.2350,369,5987,46,571
64,206,1532,3,1532 > 986 > 206 > 64,0,1,10566,248,22,7783,1072,2.3472,8.8710,0.2082,91.1290,1016,8963,47,622
1219,121,140,3,140 > 540 > 121 > 1219,0,1,10483,478,172,5979,290,4.5598,35.9833,1.6408,64.0167,173,3700,48,133
126,871,1224,2,1224 > 871 > 126,0,1,10289,498,197,4232,1260,4.8401,39.5582,1.9147,60.4418,488,3892,49,92
1244,500,1532,2,1532 > 500 > 1244,0,1,10251,285,119,6314,1479,2.7802,41.7544,1.1609,58.2456,1283,6942,50,244
844,1458,140,3,140 > 384 > 1458 > 844,0,1,10056,382,145,4836,1042,3.7987,37.9581,1.4419,62.0419,657,4270,51,169
1584,1562,653,3,653 > 351 > 1562 > 1584,0,1,9874,127,52,6449,404,1.2862,40.9449,0.5266,59.0551,385,8517,52,506
34,1368,140,3,140 > 540 > 1368 > 34,0,1,9830,199,94,5125,231,2.0244,47.2362,0.9563,52.7638,178,3532,53,313
799,920,140,2,140 > 920 > 799,0,0,9640,289,95,5775,722,2.9979,32.8720,0.9855,67.1280,529,3701,54,297
1018,1331,1600,4,1600 > 872 > 252 > 1331 > 1018,0,1,9400,308,91,5127,468,3.2766,29.5455,0.9681,70.4545,376,6901,55,309
1421,105,1224,2,1224 > 105 > 1421,0,1,9376,613,246,3534,1315,6.5380,40.1305,2.6237,59.8695,392,2730,56,47
1529,805,140,3,140 > 384 > 805 > 1529,0,1,9172,431,221,4173,173,4.6991,51.2761,2.4095,48.7239,85,2056,57,60
438,312,653,2,653 > 312 > 438,0,1,9171,270,62,5661,701,2.9441,22.9630,0.6760,77.0370,499,3197,58,424
72,620,140,4,140 > 540 > 1515 > 620 > 72,0,1,9116,344,135,5374,529,3.7736,39.2442,1.4809,60.7558,408,4961,59,164
936,143,1482,2,1482 > 143 > 936,0,1,9068,384,109,5497,1146,4.2347,28.3854,1.2020,71.6146,729,4268,60,231
1186,312,653,2,653 > 312 > 1186,0,1,8998,171,53,5752,337,1.9004,30.9942,0.5890,69.0058,272,6653,61,466
